name,addr,city,prov,pocd,x,y,addr:housenumber,addr:street,addr:state,addr:country,addr:postal,addr:city
Michaëlle Jean P.S.-,180 Williamson Drive East,Ajax,ON,L1Z 0G7,-79.0247573757947,43.89604465,180,Williamson Drive East,Ontario,Canada,L1Z 0G7,
St. Josephine Bakhita Catholic School,51 Williamson Drive East,Ajax,ON,L1T 0B4,-79.0317839328148,43.8908954,51,Williamson Drive East,Ontario,Canada,L1T 0B4,
J. Clarke Richardson Collegiate,1355 Harwood Avenue North,Ajax,ON,L1T 4G8,-79.0263318723815,43.88297365,1355,Harwood Avenue North,Ontario,Canada,L1T 4G8,
Romeo Dallaire Public School,300 Williamson Drive East,Ajax,ON,L1Z 0H6,-79.0139956537803,43.8987941,300,Williamson Drive East,Ontario,Canada,L1Z 0H6,
Audley Recreation Centre,1955 Audley Road North,Ajax,ON,L1Z 0L2,,,,,,,,
Pickering Christian School,162 Rossland Road East,Ajax,ON,L1T 4V2,,,,,,,,
Cadarackque Public School,15 Miles Drive,Ajax,ON,L1Z 1C7,-79.0093653860697,43.86170115,15,Miles Drive,Ontario,Canada,L1Z 1C7,
Mother Teresa Catholic School,15 Fishlock Street,Ajax,ON,L1Z 1H1,-79.0303173219713,43.8752816,15,Fishlock Street,Ontario,Canada,L1Z 1H1,
Terry Fox Public School,30 Kerrison Drive West,Ajax,ON,L1Z 1K1,-79.0270921643279,43.87050725,30,Kerrison Drive West,Ontario,Canada,L1Z 1K1,
St. Catherine of Siena Catholic School,15 Bennett Avenue,Ajax,ON,L1T 3P1,-79.0359879866866,43.87385925,15,Bennett Avenue,Ontario,Canada,L1T 3P1,
McLean Community Centre,95 Magill Drive,Ajax,ON,L1T 3K7,,,,,,,,
Vimy Ridge Public School,40 Telford Street,Ajax,ON,L1T 4Z4,-79.0490701747159,43.87869675,40,Telford Street,Ontario,Canada,L1T 4Z4,
Brother André Catholic School,60 Seggar Avenue,Ajax,ON,L1T 4Y4,-79.0448872732633,43.8830889,60,Seggar Avenue,Ontario,Canada,L1T 4Y4,
Rossland Ridge Bible Chapel,1 Stevensgate Drive,Ajax,ON,L1T 4Z5,,,,,,,,
Forest Brook Community Church,60 Kearney Drive,Ajax,ON,L1T 4N2,,,,,,,,
Pickering Village United Church,300 Church Street North,Ajax,ON,L1T 2W7,-79.0584888414898,43.8609514521315,300,Church Street North,Ontario,Canada,L1T 3A3,
Alexander Graham Bell Public School,25 Harkins Drive,Ajax,ON,L1T 3T6,-79.0565711050729,43.8701267,25,Harkins Drive,Ontario,Canada,L1T 3T6,
Lester B. Pearson Public School,21 Coughlen Street,Ajax,ON,L1T 2M9,-79.0433665676922,43.8713952,21,Coughlen Street,Ontario,Canada,L1T 2M9,
Applecroft Public School,55 Coles Avenue,Ajax,ON,L1T 3H5,-79.0334779203146,43.86677955,55,Coles Avenue,Ontario,Canada,L1T 3H5,
St. Patrick Catholic School,280 Delaney Drive,Ajax,ON,L1T 3N5,-79.0556805199336,43.86683475,280,Delaney Drive,Ontario,Canada,L1T 3N5,
Pickering & Village Seniors Centre-,29 Linton Avenue,Ajax,ON,L1T 3A7,,,,,,,,
Roland Michener Public School,95 Ritchie Avenue,Ajax,ON,L1S 6S2,-79.0381792962827,43.85397,95,Ritchie Avenue,Ontario,Canada,L1S 6S2,
Lord Elgin Public School,24 Ontario Street,Ajax,ON,L1S 1T6,-79.0262915625046,43.85678465,24,Ontario Street,Ontario,Canada,L1S 1T6,
Ajax Public Library,55 Harwood Avenue South-East,Ajax,ON,L1S 2H8,,,,,,,,
St. Andrew's Community Centre,46 Exeter Road,Ajax,ON,L1S 2J8,,,,,,,,
Carruthers Creek Golf Club,650 Lakeridge Road South,Ajax,ON,L1Z 1W9,,,,,,,,
Carruthers Creek Public School,1 Greenhalf Drive,Ajax,ON,L1S 7N6,-79.0047929826595,43.8399763,1,Greenhalf Drive,Ontario,Canada,L1S 7N6,
C4 Church,599 Bayly Street East,Ajax,ON,L1Z 1L4,-78.9891103717568,43.84944255,599,Bayly Street East,Ontario,Canada,L1Z 1L4,
Ajax Community Centre,75 Centennial Road,Ajax,ON,L1S 4S4,-79.02063487625,43.83930555,75,Centennial Road,Ontario,Canada,L1S 4S4,
St. James Catholic School,10 Clover Ridge Drive West,Ajax,ON,L1S 3E5,-79.0144824495428,43.82654525,10,Clover Ridge Drive West,Ontario,Canada,L1S 3E5,
Carruthers Marsh Pavilion,55 Ashbury Boulevard,Ajax,ON,L1Z 0E7,-78.986402147033,43.83152225,55,Ashbury Boulevard,Ontario,Canada,L1Z 0E7,
Southwood Park Public School,28 Lambard Crescent,Ajax,ON,L1S 1M5,-79.0087405780662,43.8341167,28,Lambard Crescent,Ontario,Canada,L1S 1M5,
Duffin's Bay Public School,66 Pittmann Crescent,Ajax,ON,L1S 3G3,,,,,,,,
Lakeside Public School,4 Parkes Drive,Ajax,ON,L1S 4X1,-79.0275220228912,43.82364325,4,Parkes Drive,Ontario,Canada,L1S 4X1,
77 Falby (Lobby),77 Falby Court,Ajax,ON,L1S 4G7,,,,,,,,
66 Falby D.C.C. 33,66 Falby Court,Ajax,ON,L1S 3L2,,,,,,,,
55 Falby,55 Falby Court,Ajax,ON,L1S 3W4,,,,,,,,
33 Falby Court (Lobby),33 Falby Court,Ajax,ON,L1S 3R3,,,,,,,,
44 Falby D.C.C. 34,44 Falby Court,Ajax,ON,L1S 3L1,,,,,,,,
